2020,Lloyd Pierce,20-47
2019,Lloyd Pierce,29-53
2018,Mike Budenholzer,24-58
2017,Mike Budenholzer,43-39
2016,Mike Budenholzer,48-34
2015,Mike Budenholzer,60-22
2014,Mike Budenholzer,38-44
2013,Larry Drew,44-38
2012,Larry Drew,40-26
2011,Larry Drew,44-38
2010,Mike Woodson,53-29
2009,Mike Woodson,47-35
2008,Mike Woodson,37-45
2007,Mike Woodson,30-52
2006,Mike Woodson,26-56
2005,Mike Woodson,13-69
2004,Terry Stotts,28-54
2003,Lon Kruger,11-16
2003,Lon Kruger,11-16,Terry Stotts,24-31
2002,Lon Kruger,33-49
2001,Lon Kruger,25-57
2000,Lenny Wilkens,28-54
1999,Lenny Wilkens,31-19
1998,Lenny Wilkens,50-32
1997,Lenny Wilkens,56-26
1996,Lenny Wilkens,46-36
1995,Lenny Wilkens,42-40
1994,Lenny Wilkens,57-25
1993,Bob Weiss,43-39
1992,Bob Weiss,38-44
1991,Bob Weiss,43-39
1990,Mike Fratello,41-41
1989,Mike Fratello,52-30
1988,Mike Fratello,50-32
1987,Mike Fratello,57-25
1986,Mike Fratello,50-32
1985,Mike Fratello,34-48
1984,Mike Fratello,40-42
1983,Kevin Loughery,43-39
1982,Kevin Loughery,42-40
1981,Hubie Brown,31-48
1981,Hubie Brown,31-48,Mike Fratello,0-3
1980,Hubie Brown,50-32
1979,Hubie Brown,46-36
1978,Hubie Brown,41-41
1977,Hubie Brown,31-51
1976,Cotton Fitzsimmons,28-46
1976,Cotton Fitzsimmons,28-46,Gene Tormohlen,1-7
1975,Cotton Fitzsimmons,31-51
1974,Cotton Fitzsimmons,35-47
1973,Cotton Fitzsimmons,46-36
1972,Richie Guerin,36-46
1971,Richie Guerin,36-46
1970,Richie Guerin,48-34
1969,Richie Guerin,48-34
1968,Richie Guerin,56-26
1967,Richie Guerin,39-42
1966,Richie Guerin,36-44
1965,Harry Gallatin,17-16
1965,Harry Gallatin,17-16,Richie Guerin,28-19
1964,Harry Gallatin,46-34
1963,Harry Gallatin,48-32
1962,Paul Seymour,5-9
1962,Paul Seymour,5-9,Andrew Levane,20-40
1962,Paul Seymour,5-9,Andrew Levane,20-40,Bob Pettit,4-2
1961,Paul Seymour,51-28
1960,Ed Macauley,46-29
1959,Andy Phillip,6-4
1959,Andy Phillip,6-4,Ed Macauley,43-19
1958,Alex Hannum,41-31
1957,Red Holzman,14-19
1957,Red Holzman,14-19,Slater Martin,5-3
1957,Red Holzman,14-19,Slater Martin,5-3,Alex Hannum,15-16
1956,Red Holzman,33-39
1955,Red Holzman,26-46
1954,Andrew Levane,11-35
1954,Andrew Levane,11-35,Red Holzman,10-16
1953,Andrew Levane,27-44
1952,Doxie Moore,17-49
1951,Dave McMillan,9-14
1951,Dave McMillan,9-14,John Logan,2-1
1951,Dave McMillan,9-14,John Logan,2-1,Mike Todorovich,14-28
1950,Roger Potter,1-6
1950,Roger Potter,1-6,Red Auerbach,28-29
