2020,James Borrego,23-42
2019,James Borrego,39-43
2018,Steve Clifford,36-46
2017,Steve Clifford,36-46
2016,Steve Clifford,48-34
2015,Steve Clifford,33-49
2014,Steve Clifford,43-39
2013,Mike Dunlap,21-61
2012,Paul Silas,7-59
2011,Larry Brown,9-19
2011,Larry Brown,9-19,Paul Silas,25-29
2010,Larry Brown,44-38
2009,Larry Brown,35-47
2008,Sam Vincent,32-50
2007,Bernie Bickerstaff,33-49
2006,Bernie Bickerstaff,26-56
2005,Bernie Bickerstaff,18-64
2002,Paul Silas,44-38
2001,Paul Silas,46-36
2000,Paul Silas,49-33
1999,Dave Cowens,4-11
1999,Dave Cowens,4-11,Paul Silas,22-13
1998,Dave Cowens,51-31
1997,Dave Cowens,54-28
1996,Allan Bristow,41-41
1995,Allan Bristow,50-32
1994,Allan Bristow,41-41
1993,Allan Bristow,44-38
1992,Allan Bristow,31-51
1991,Gene Littles,26-56
1990,Dick Harter,8-32
1990,Dick Harter,8-32,Gene Littles,11-31
1989,Dick Harter,20-62
