2020,Jim Boylen,22-43
2019,Fred Hoiberg,5-19
2019,Fred Hoiberg,5-19,Jim Boylen,17-41
2018,Fred Hoiberg,27-55
2017,Fred Hoiberg,41-41
2016,Fred Hoiberg,42-40
2015,Tom Thibodeau,50-32
2014,Tom Thibodeau,48-34
2013,Tom Thibodeau,45-37
2012,Tom Thibodeau,50-16
2011,Tom Thibodeau,62-20
2010,Vinny Del Negro,41-41
2009,Vinny Del Negro,41-41
2008,Scott Skiles,9-16
2008,Scott Skiles,9-16,Pete Myers,0-1
2008,Scott Skiles,9-16,Pete Myers,0-1,Jim Boylan,24-32
2007,Scott Skiles,49-33
2006,Scott Skiles,41-41
2005,Scott Skiles,47-35
2004,Bill Cartwright,4-10
2004,Bill Cartwright,4-10,Pete Myers,0-2
2004,Bill Cartwright,4-10,Pete Myers,0-2,Scott Skiles,19-47
2003,Bill Cartwright,30-52
2002,Tim Floyd,4-21
2002,Tim Floyd,4-21,Bill Berry,0-2
2002,Tim Floyd,4-21,Bill Berry,0-2,Bill Cartwright,17-38
2001,Tim Floyd,15-67
2000,Tim Floyd,17-65
1999,Tim Floyd,13-37
1998,Phil Jackson,62-20
1997,Phil Jackson,69-13
1996,Phil Jackson,72-10
1995,Phil Jackson,47-35
1994,Phil Jackson,55-27
1993,Phil Jackson,57-25
1992,Phil Jackson,67-15
1991,Phil Jackson,61-21
1990,Phil Jackson,55-27
1989,Doug Collins,47-35
1988,Doug Collins,50-32
1987,Doug Collins,40-42
1986,Stan Albeck,30-52
1985,Kevin Loughery,38-44
1984,Kevin Loughery,27-55
1983,Paul Westhead,28-54
1982,Jerry Sloan,19-32
1982,Jerry Sloan,19-32,Phil Johnson,0-1
1982,Jerry Sloan,19-32,Phil Johnson,0-1,Rod Thorn,15-15
1981,Jerry Sloan,45-37
1980,Jerry Sloan,30-52
1979,Larry Costello,20-36
1979,Larry Costello,20-36,Scotty Robertson,11-15
1978,Ed Badger,40-42
1977,Ed Badger,44-38
1976,Dick Motta,24-58
1975,Dick Motta,47-35
1974,Dick Motta,54-28
1973,Dick Motta,51-31
1972,Dick Motta,57-25
1971,Dick Motta,51-31
1970,Dick Motta,39-43
1969,Dick Motta,33-49
1968,Red Kerr,29-53
1967,Red Kerr,33-48
