2020,Rick Carlisle,40-27
2019,Rick Carlisle,33-49
2018,Rick Carlisle,24-58
2017,Rick Carlisle,33-49
2016,Rick Carlisle,42-40
2015,Rick Carlisle,50-32
2014,Rick Carlisle,49-33
2013,Rick Carlisle,41-41
2012,Rick Carlisle,36-30
2011,Rick Carlisle,57-25
2010,Rick Carlisle,55-27
2009,Rick Carlisle,50-32
2008,Avery Johnson,51-31
2007,Avery Johnson,67-15
2006,Avery Johnson,60-22
2005,Don Nelson,42-22
2005,Don Nelson,42-22,Avery Johnson,16-2
2004,Don Nelson,52-30
2003,Don Nelson,60-22
2002,Don Nelson,57-25
2001,Don Nelson,53-29
2000,Don Nelson,40-42
1999,Don Nelson,19-31
1998,Jim Cleamons,4-12
1998,Jim Cleamons,4-12,Don Nelson,16-50
1997,Jim Cleamons,24-58
1996,Dick Motta,26-56
1995,Dick Motta,36-46
1994,Quinn Buckner,13-69
1993,Richie Adubato,2-27
1993,Richie Adubato,2-27,Gar Heard,9-44
1992,Richie Adubato,22-60
1991,Richie Adubato,28-54
1990,John MacLeod,5-6
1990,John MacLeod,5-6,Richie Adubato,42-29
1989,John MacLeod,38-44
1988,John MacLeod,53-29
1987,Dick Motta,55-27
1986,Dick Motta,44-38
1985,Dick Motta,44-38
1984,Dick Motta,43-39
1983,Dick Motta,38-44
1982,Dick Motta,28-54
1981,Dick Motta,15-67
