2020,Dwane Casey,20-46
2019,Dwane Casey,41-41
2018,Stan Van Gundy,39-43
2017,Stan Van Gundy,37-45
2016,Stan Van Gundy,44-38
2015,Stan Van Gundy,32-50
2014,Maurice Cheeks,21-29
2014,Maurice Cheeks,21-29,John Loyer,8-24
2013,Lawrence Frank,29-53
2012,Lawrence Frank,25-41
2011,John Kuester,30-52
2010,John Kuester,27-55
2009,Michael Curry,39-43
2008,Flip Saunders,59-23
2007,Flip Saunders,53-29
2006,Flip Saunders,64-18
2005,Larry Brown,54-28
2004,Larry Brown,54-28
2003,Rick Carlisle,50-32
2002,Rick Carlisle,50-32
2001,George Irvine,32-50
2000,Alvin Gentry,28-30
2000,Alvin Gentry,28-30,George Irvine,14-10
1999,Alvin Gentry,29-21
1998,Doug Collins,21-24
1998,Doug Collins,21-24,Alvin Gentry,16-21
1997,Doug Collins,54-28
1996,Doug Collins,46-36
1995,Don Chaney,28-54
1994,Don Chaney,20-62
1993,Ron Rothstein,40-42
1992,Chuck Daly,48-34
1991,Chuck Daly,50-32
1990,Chuck Daly,59-23
1989,Chuck Daly,63-19
1988,Chuck Daly,54-28
1987,Chuck Daly,52-30
1986,Chuck Daly,46-36
1985,Chuck Daly,46-36
1984,Chuck Daly,49-33
1983,Scotty Robertson,37-45
1982,Scotty Robertson,39-43
1981,Scotty Robertson,21-61
1980,Dick Vitale,4-8
1980,Dick Vitale,4-8,Richie Adubato,12-58
1979,Dick Vitale,30-52
1978,Herb Brown,9-15
1978,Herb Brown,9-15,Bob Kauffman,29-29
1977,Herb Brown,44-38
1976,Ray Scott,17-25
1976,Ray Scott,17-25,Herb Brown,19-21
1975,Ray Scott,40-42
1974,Ray Scott,52-30
1973,Earl Lloyd,2-5
1973,Earl Lloyd,2-5,Ray Scott,38-37
1972,Butch van Breda Kolff,6-4
1972,Butch van Breda Kolff,6-4,Terry Dischinger,0-2
1972,Butch van Breda Kolff,6-4,Terry Dischinger,0-2,Earl Lloyd,20-50
1971,Butch van Breda Kolff,45-37
1970,Butch van Breda Kolff,31-51
1969,Donnie Butcher,10-12
1969,Donnie Butcher,10-12,Paul Seymour,22-38
1968,Donnie Butcher,40-42
1967,Dave DeBusschere,28-45
1967,Dave DeBusschere,28-45,Donnie Butcher,2-6
1966,Dave DeBusschere,22-58
1965,Charles Wolf,2-9
1965,Charles Wolf,2-9,Dave DeBusschere,29-40
1964,Charles Wolf,23-57
1963,Dick McGuire,34-46
1962,Dick McGuire,37-43
1961,Dick McGuire,34-45
1960,Red Rocha,13-21
1960,Red Rocha,13-21,Dick McGuire,17-24
1959,Red Rocha,28-44
1958,Charles Eckman,9-16
1958,Charles Eckman,9-16,Red Rocha,24-23
1957,Charles Eckman,34-38
1956,Charles Eckman,37-35
1955,Charles Eckman,43-29
1954,Paul Birch,40-32
1953,Paul Birch,36-33
1952,Paul Birch,29-37
1951,Murray Mendenhall,32-36
1950,Murray Mendenhall,40-28
1949,Carl Bennett,0-6
1949,Carl Bennett,0-6,Curly Armstrong,22-32
