2020,Mike D'Antoni,40-24
2019,Mike D'Antoni,53-29
2018,Mike D'Antoni,65-17
2017,Mike D'Antoni,55-27
2016,Kevin McHale,4-7
2016,Kevin McHale,4-7,J.B. Bickerstaff,37-34
2015,Kevin McHale,56-26
2014,Kevin McHale,54-28
2013,Kevin McHale,45-37
2012,Kevin McHale,34-32
2011,Rick Adelman,43-39
2010,Rick Adelman,42-40
2009,Rick Adelman,53-29
2008,Rick Adelman,55-27
2007,Jeff Van Gundy,52-30
2006,Jeff Van Gundy,34-48
2005,Jeff Van Gundy,51-31
2004,Jeff Van Gundy,45-37
2003,Rudy Tomjanovich,43-39
2002,Rudy Tomjanovich,28-54
2001,Rudy Tomjanovich,45-37
2000,Rudy Tomjanovich,34-48
1999,Rudy Tomjanovich,31-19
1998,Rudy Tomjanovich,41-41
1997,Rudy Tomjanovich,57-25
1996,Rudy Tomjanovich,48-34
1995,Rudy Tomjanovich,47-35
1994,Rudy Tomjanovich,58-24
1993,Rudy Tomjanovich,55-27
1992,Don Chaney,26-26
1992,Don Chaney,26-26,Rudy Tomjanovich,16-14
1991,Don Chaney,52-30
1990,Don Chaney,41-41
1989,Don Chaney,45-37
1988,Bill Fitch,46-36
1987,Bill Fitch,42-40
1986,Bill Fitch,51-31
1985,Bill Fitch,48-34
1984,Bill Fitch,29-53
1983,Del Harris,14-68
1982,Del Harris,46-36
1981,Del Harris,40-42
1980,Del Harris,41-41
1979,Tom Nissalke,47-35
1978,Tom Nissalke,28-54
1977,Tom Nissalke,49-33
1976,Johnny Egan,40-42
1975,Johnny Egan,41-41
1974,Johnny Egan,32-50
1973,Tex Winter,17-30
1973,Tex Winter,17-30,Johnny Egan,16-19
1972,Tex Winter,34-48
1971,Alex Hannum,40-42
1970,Jack McMahon,9-17
1970,Jack McMahon,9-17,Alex Hannum,18-38
1969,Jack McMahon,37-45
1968,Jack McMahon,15-67
