2020,Nate McMillan,39-26
2019,Nate McMillan,48-34
2018,Nate McMillan,48-34
2017,Nate McMillan,42-40
2016,Frank Vogel,45-37
2015,Frank Vogel,38-44
2014,Frank Vogel,56-26
2013,Frank Vogel,49-32
2012,Frank Vogel,42-24
2011,Jim O'Brien,17-27
2011,Jim O'Brien,17-27,Frank Vogel,20-18
2010,Jim O'Brien,32-50
2009,Jim O'Brien,36-46
2008,Jim O'Brien,36-46
2007,Rick Carlisle,35-47
2006,Rick Carlisle,41-41
2005,Rick Carlisle,44-38
2004,Rick Carlisle,61-21
2003,Isiah Thomas,48-34
2002,Isiah Thomas,42-40
2001,Isiah Thomas,41-41
2000,Larry Bird,56-26
1999,Larry Bird,33-17
1998,Larry Bird,58-24
1997,Larry Brown,39-43
1996,Larry Brown,52-30
1995,Larry Brown,52-30
1994,Larry Brown,47-35
1993,Bob Hill,41-41
1992,Bob Hill,40-42
1991,Dick Versace,9-16
1991,Dick Versace,9-16,Bob Hill,32-25
1990,Dick Versace,42-40
1989,Jack Ramsay,0-7
1989,Jack Ramsay,0-7,Mel Daniels,0-2
1989,Jack Ramsay,0-7,Mel Daniels,0-2,George Irvine,6-14
1989,Jack Ramsay,0-7,Mel Daniels,0-2,George Irvine,6-14,Dick Versace,22-31
1988,Jack Ramsay,38-44
1987,Jack Ramsay,41-41
1986,George Irvine,26-56
1985,George Irvine,22-60
1984,Jack McKinney,26-56
1983,Jack McKinney,20-62
1982,Jack McKinney,35-47
1981,Jack McKinney,44-38
1980,Slick Leonard,37-45
1979,Slick Leonard,38-44
1978,Slick Leonard,31-51
1977,Slick Leonard,36-46
1976,Slick Leonard,39-45
1975,Slick Leonard,45-39
1974,Slick Leonard,46-38
1973,Slick Leonard,51-33
1972,Slick Leonard,47-37
1971,Slick Leonard,58-26
1970,Slick Leonard,59-25
1969,Larry Staverman,2-7
1969,Larry Staverman,2-7,Slick Leonard,42-27
1968,Larry Staverman,38-40
