2020,Frank Vogel,49-14
2019,Luke Walton,37-45
2018,Luke Walton,35-47
2017,Luke Walton,26-56
2016,Byron Scott,17-65
2015,Byron Scott,21-61
2014,Mike D'Antoni,27-55
2013,Mike Brown,1-4
2013,Mike Brown,1-4,Bernie Bickerstaff,4-1
2013,Mike Brown,1-4,Bernie Bickerstaff,4-1,Mike D'Antoni,40-32
2012,Mike Brown,41-25
2011,Phil Jackson,57-25
2010,Phil Jackson,57-25
2009,Phil Jackson,65-17
2008,Phil Jackson,57-25
2007,Phil Jackson,42-40
2006,Phil Jackson,45-37
2005,Rudy Tomjanovich,24-19
2005,Rudy Tomjanovich,24-19,Frank Hamblen,10-29
2004,Phil Jackson,56-26
2003,Phil Jackson,50-32
2002,Phil Jackson,58-24
2001,Phil Jackson,56-26
2000,Phil Jackson,67-15
1999,Del Harris,6-6
1999,Del Harris,6-6,Bill Bertka,1-0
1999,Del Harris,6-6,Bill Bertka,1-0,Kurt Rambis,24-13
1998,Del Harris,61-21
1997,Del Harris,56-26
1996,Del Harris,53-29
1995,Del Harris,48-34
1994,Randy Pfund,27-37
1994,Randy Pfund,27-37,Bill Bertka,1-1
1994,Randy Pfund,27-37,Bill Bertka,1-1,Magic Johnson,5-11
1993,Randy Pfund,39-43
1992,Mike Dunleavy,43-39
1991,Mike Dunleavy,58-24
1990,Pat Riley,63-19
1989,Pat Riley,57-25
1988,Pat Riley,62-20
1987,Pat Riley,65-17
1986,Pat Riley,62-20
1985,Pat Riley,62-20
1984,Pat Riley,54-28
1983,Pat Riley,58-24
1982,Paul Westhead,7-4
1982,Paul Westhead,7-4,Pat Riley,50-21
1981,Paul Westhead,54-28
1980,Jack McKinney,10-4
1980,Jack McKinney,10-4,Paul Westhead,50-18
1979,Jerry West,47-35
1978,Jerry West,45-37
1977,Jerry West,53-29
1976,Bill Sharman,40-42
1975,Bill Sharman,30-52
1974,Bill Sharman,47-35
1973,Bill Sharman,60-22
1972,Bill Sharman,69-13
1971,Joe Mullaney,48-34
1970,Joe Mullaney,46-36
1969,Butch van Breda Kolff,55-27
1968,Butch van Breda Kolff,52-30
1967,Fred Schaus,36-45
1966,Fred Schaus,45-35
1965,Fred Schaus,49-31
1964,Fred Schaus,42-38
1963,Fred Schaus,53-27
1962,Fred Schaus,54-26
1961,Fred Schaus,36-43
1960,John Castellani,11-25
1960,John Castellani,11-25,Jim Pollard,14-25
1959,John Kundla,33-39
1958,George Mikan,9-30
1958,George Mikan,9-30,John Kundla,10-23
1957,John Kundla,34-38
1956,John Kundla,33-39
1955,John Kundla,40-32
1954,John Kundla,46-26
1953,John Kundla,48-22
1952,John Kundla,40-26
1951,John Kundla,44-24
1950,John Kundla,51-17
1949,John Kundla,44-16
