2020,Mike Budenholzer,53-12
2019,Mike Budenholzer,60-22
2018,Jason Kidd,23-22
2018,Jason Kidd,23-22,Joe Prunty,21-16
2017,Jason Kidd,42-40
2016,Jason Kidd,33-49
2015,Jason Kidd,41-41
2014,Larry Drew,15-67
2013,Scott Skiles,16-16
2013,Scott Skiles,16-16,Jim Boylan,22-28
2012,Scott Skiles,31-35
2011,Scott Skiles,35-47
2010,Scott Skiles,46-36
2009,Scott Skiles,34-48
2008,Larry Krystkowiak,26-56
2007,Terry Stotts,23-41
2007,Terry Stotts,23-41,Larry Krystkowiak,5-13
2006,Terry Stotts,40-42
2005,Terry Porter,30-52
2004,Terry Porter,41-41
2003,George Karl,42-40
2002,George Karl,41-41
2001,George Karl,52-30
2000,George Karl,42-40
1999,George Karl,28-22
1998,Chris Ford,36-46
1997,Chris Ford,33-49
1996,Mike Dunleavy,25-57
1995,Mike Dunleavy,34-48
1994,Mike Dunleavy,20-62
1993,Mike Dunleavy,28-54
1992,Del Harris,8-9
1992,Del Harris,8-9,Frank Hamblen,23-42
1991,Del Harris,48-34
1990,Del Harris,44-38
1989,Del Harris,49-33
1988,Del Harris,42-40
1987,Don Nelson,50-32
1986,Don Nelson,57-25
1985,Don Nelson,59-23
1984,Don Nelson,50-32
1983,Don Nelson,51-31
1982,Don Nelson,55-27
1981,Don Nelson,60-22
1980,Don Nelson,49-33
1979,Don Nelson,38-44
1978,Don Nelson,44-38
1977,Larry Costello,3-15
1977,Larry Costello,3-15,Don Nelson,27-37
1976,Larry Costello,38-44
1975,Larry Costello,38-44
1974,Larry Costello,59-23
1973,Larry Costello,60-22
1972,Larry Costello,63-19
1971,Larry Costello,66-16
1970,Larry Costello,56-26
1969,Larry Costello,27-55
