2020,Ryan Saunders,19-45
2019,Tom Thibodeau,19-21
2019,Tom Thibodeau,19-21,Ryan Saunders,17-25
2018,Tom Thibodeau,47-35
2017,Tom Thibodeau,31-51
2016,Sam Mitchell,29-53
2015,Flip Saunders,16-66
2014,Rick Adelman,40-42
2013,Rick Adelman,31-51
2012,Rick Adelman,26-40
2011,Kurt Rambis,17-65
2010,Kurt Rambis,15-67
2009,Randy Wittman,4-15
2009,Randy Wittman,4-15,Kevin McHale,20-43
2008,Randy Wittman,22-60
2007,Dwane Casey,20-20
2007,Dwane Casey,20-20,Randy Wittman,12-30
2006,Dwane Casey,33-49
2005,Flip Saunders,25-26
2005,Flip Saunders,25-26,Kevin McHale,19-12
2004,Flip Saunders,58-24
2003,Flip Saunders,51-31
2002,Flip Saunders,50-32
2001,Flip Saunders,47-35
2000,Flip Saunders,50-32
1999,Flip Saunders,25-25
1998,Flip Saunders,45-37
1997,Flip Saunders,40-42
1996,Bill Blair,6-14
1996,Bill Blair,6-14,Flip Saunders,20-42
1995,Bill Blair,21-61
1994,Sidney Lowe,20-62
1993,Jimmy Rodgers,6-23
1993,Jimmy Rodgers,6-23,Sidney Lowe,13-40
1992,Jimmy Rodgers,15-67
1991,Bill Musselman,29-53
1990,Bill Musselman,22-60
