2020,Gregg Popovich,27-36
2019,Gregg Popovich,48-34
2018,Gregg Popovich,47-35
2017,Gregg Popovich,61-21
2016,Gregg Popovich,67-15
2015,Gregg Popovich,55-27
2014,Gregg Popovich,62-20
2013,Gregg Popovich,58-24
2012,Gregg Popovich,50-16
2011,Gregg Popovich,61-21
2010,Gregg Popovich,50-32
2009,Gregg Popovich,54-28
2008,Gregg Popovich,56-26
2007,Gregg Popovich,58-24
2006,Gregg Popovich,63-19
2005,Gregg Popovich,59-23
2004,Gregg Popovich,57-25
2003,Gregg Popovich,60-22
2002,Gregg Popovich,58-24
2001,Gregg Popovich,58-24
2000,Gregg Popovich,53-29
1999,Gregg Popovich,37-13
1998,Gregg Popovich,56-26
1997,Bob Hill,3-15
1997,Bob Hill,3-15,Gregg Popovich,17-47
1996,Bob Hill,59-23
1995,Bob Hill,62-20
1994,John Lucas,55-27
1993,Jerry Tarkanian,9-11
1993,Jerry Tarkanian,9-11,Rex Hughes,1-0
1993,Jerry Tarkanian,9-11,Rex Hughes,1-0,John Lucas,39-22
1992,Larry Brown,21-17
1992,Larry Brown,21-17,Bob Bass,26-18
1991,Larry Brown,55-27
1990,Larry Brown,56-26
1989,Larry Brown,21-61
1988,Bob Weiss,31-51
1987,Bob Weiss,28-54
1986,Cotton Fitzsimmons,35-47
1985,Cotton Fitzsimmons,41-41
1984,Morris McHone,11-20
1984,Morris McHone,11-20,Bob Bass,26-25
1983,Stan Albeck,53-29
1982,Stan Albeck,48-34
1981,Stan Albeck,52-30
1980,Doug Moe,33-33
1980,Doug Moe,33-33,Bob Bass,8-8
1979,Doug Moe,48-34
1978,Doug Moe,52-30
1977,Doug Moe,44-38
1976,Bob Bass,50-34
1975,Tom Nissalke,18-10
1975,Tom Nissalke,18-10,Bob Bass,33-23
1974,Tom Nissalke,45-39
1973,Babe McCarthy,24-48
1973,Babe McCarthy,24-48,Dave Brown,4-8
1972,Tom Nissalke,42-42
1971,Max Williams,5-14
1971,Max Williams,5-14,Bill Blakeley,25-40
1970,Cliff Hagan,22-21
1970,Cliff Hagan,22-21,Max Williams,23-18
1969,Cliff Hagan,41-37
1968,Cliff Hagan,46-32
