2020,Nick Nurse,46-18
2019,Nick Nurse,58-24
2018,Dwane Casey,59-23
2017,Dwane Casey,51-31
2016,Dwane Casey,56-26
2015,Dwane Casey,49-33
2014,Dwane Casey,48-34
2013,Dwane Casey,34-48
2012,Dwane Casey,23-43
2011,Jay Triano,22-60
2010,Jay Triano,40-42
2009,Sam Mitchell,8-9
2009,Sam Mitchell,8-9,Jay Triano,25-40
2008,Sam Mitchell,41-41
2007,Sam Mitchell,47-35
2006,Sam Mitchell,27-55
2005,Sam Mitchell,33-49
2004,Kevin O'Neill,33-49
2003,Lenny Wilkens,24-58
2002,Lenny Wilkens,42-40
2001,Lenny Wilkens,47-35
2000,Butch Carter,45-37
1999,Butch Carter,23-27
1998,Darrell Walker,11-38
1998,Darrell Walker,11-38,Butch Carter,5-28
1997,Darrell Walker,30-52
1996,Brendan Malone,21-61
