Year,Wins,Loses,Total,Percentage1,IsSuccessful,Percentage2
2003,11,16,27,40,True,43
1981,31,48,79,39,False,0
1976,28,46,74,37,False,12
1965,17,16,33,51,True,59
1962,5,9,14,35,False,33
1962,20,40,60,33,True,66
1959,6,4,10,60,True,69
1957,14,19,33,42,True,62
1957,5,3,8,62,False,48
1954,11,35,46,23,True,38
1951,9,14,23,39,True,66
1951,2,1,3,66,False,33
1950,1,6,7,14,True,49
2004,22,24,46,47,False,38
2001,12,22,34,35,True,50
1979,2,12,14,14,True,39
1978,11,23,34,32,True,43
2011,9,19,28,32,True,46
1999,4,11,15,26,True,62
1990,8,32,40,20,True,26
2019,5,19,24,20,True,29
2008,9,16,25,36,False,0
2008,0,1,1,0,True,42
2004,4,10,14,28,False,0
2004,0,2,2,0,True,28
2002,4,21,25,16,False,0
2002,0,2,2,0,True,30
1982,19,32,51,37,False,0
1982,0,1,1,0,True,50
1979,20,36,56,35,True,42
2020,14,40,54,25,True,45
2019,0,6,6,0,True,25
2016,30,11,41,73,False,65
2005,34,30,64,53,False,44
2003,8,34,42,19,True,22
1986,25,42,67,37,False,26
1982,4,11,15,26,False,0
1982,0,3,3,0,True,21
1982,9,32,41,21,False,8
1981,25,46,71,35,False,27
2005,42,22,64,65,True,88
1998,4,12,16,25,False,24
1993,2,27,29,6,True,16
1990,5,6,11,45,True,59
2015,20,39,59,33,True,43
2005,13,15,28,46,False,28
2005,4,10,14,28,True,80
2002,9,17,26,34,False,32
1997,4,9,13,30,False,24
1995,18,16,34,52,False,18
1995,3,13,16,18,True,62
1981,11,20,31,35,True,50
1979,28,25,53,52,True,65
1971,3,10,13,23,True,38
1970,9,19,28,32,True,75
2014,21,29,50,42,False,25
2000,28,30,58,48,True,58
1998,21,24,45,46,False,43
1980,4,8,12,33,False,17
1978,9,15,24,37,True,50
1976,17,25,42,40,True,47
1973,2,5,7,28,True,50
1972,6,4,10,60,False,0
1972,0,2,2,0,True,28
1969,10,12,22,45,False,36
1967,28,45,73,38,False,25
1965,2,9,11,18,True,42
1960,13,21,34,38,True,41
1958,9,16,25,36,True,51
1949,0,6,6,0,True,40
2002,8,15,23,34,False,22
2000,6,21,27,22,True,23
1995,14,31,45,31,True,32
1988,16,48,64,25,False,22
1980,18,43,61,29,False,28
1970,22,30,52,42,False,26
2016,4,7,11,36,True,52
1992,26,26,52,50,True,53
1973,17,30,47,36,True,45
1970,9,17,26,34,False,32
2011,17,27,44,38,True,52
1991,9,16,25,36,True,56
1989,0,7,7,0,True,0
1989,0,2,2,0,True,30
1989,6,14,20,30,True,41
1969,2,7,9,22,True,60
2010,21,28,49,42,False,24
2003,19,39,58,32,True,33
2000,11,34,45,24,False,10
1992,21,24,45,46,True,50
1992,1,1,2,50,True,65
1989,10,28,38,26,False,25
1985,22,39,61,36,True,42
1977,16,30,46,34,True,42
1977,3,4,7,42,False,37
1972,0,1,1,0,True,27
2013,1,4,5,20,True,80
2013,4,1,5,80,False,55
2005,24,19,43,55,False,25
1999,6,6,12,50,True,100
1999,1,0,1,100,False,64
1994,27,37,64,42,True,50
1994,1,1,2,50,False,31
1982,7,4,11,63,True,70
1980,10,4,14,71,True,73
1960,11,25,36,30,True,35
1958,9,30,39,23,True,30
2018,7,12,19,36,False,23
2009,11,30,41,26,False,0
2009,0,2,2,0,True,33
2007,6,24,30,20,True,30
2005,5,7,12,41,False,0
2005,0,4,4,0,True,60
2003,0,8,8,0,True,37
2000,4,18,22,18,True,30
1997,8,35,43,18,False,15
2006,11,10,21,52,True,67
1995,17,29,46,36,True,41
2018,23,22,45,51,True,56
2013,16,16,32,50,False,44
2007,23,41,64,35,False,27
1992,8,9,17,47,False,35
1977,3,15,18,16,True,42
2019,19,21,40,47,False,40
2009,4,15,19,21,True,31
2007,20,20,40,50,False,28
2005,25,26,51,49,True,61
1996,6,14,20,30,True,32
1993,6,23,29,20,True,24
2020,28,34,62,45,True,100
2016,10,27,37,27,False,24
2013,14,14,28,50,True,64
2010,0,16,16,0,True,0
2010,0,2,2,0,True,18
2004,22,20,42,52,True,62
1999,3,17,20,15,True,43
1988,2,13,15,13,True,25
1988,10,29,39,25,True,25
1983,47,29,76,61,False,33
1981,12,23,35,34,False,25
2010,3,6,9,33,True,46
2020,4,18,22,18,True,38
2016,23,31,54,42,False,32
2012,18,24,42,42,True,75
2005,17,22,39,43,False,37
2004,15,24,39,38,True,100
2004,1,0,1,100,False,54
2002,10,9,19,52,False,31
1996,34,25,59,57,False,56
1991,7,8,15,46,True,47
1987,4,12,16,25,True,30
1979,6,8,14,42,False,36
1968,15,23,38,39,True,63
1966,6,15,21,28,True,40
1965,12,26,38,31,True,45
1960,8,19,27,29,True,39
1956,26,25,51,50,False,42
2009,1,12,13,7,True,31
2006,13,17,30,43,False,42
2001,6,9,15,40,True,56
1992,18,18,36,50,True,50
1992,2,2,4,50,True,64
1978,5,17,22,22,True,70
1973,13,32,45,28,True,35
2015,15,37,52,28,True,33
2005,31,33,64,48,False,27
2004,1,10,11,9,True,28
1997,24,25,49,48,True,63
2009,9,14,23,39,True,54
2004,21,31,52,40,True,40
1993,19,37,56,33,False,26
1988,20,23,43,46,False,41
1978,2,4,6,33,True,69
1973,4,47,51,7,True,16
1957,4,8,12,33,True,56
2018,0,3,3,0,True,26
2016,14,35,49,28,False,27
2013,13,28,41,31,False,29
2009,28,23,51,54,True,58
2004,8,13,21,38,False,34
2002,25,26,51,49,False,35
2000,13,7,20,65,False,64
1997,0,8,8,0,True,54
1996,14,19,33,42,True,55
1987,22,34,56,39,True,53
1973,3,4,7,42,True,46
1970,15,23,38,39,True,54
2012,20,23,43,46,False,34
2005,22,33,55,40,False,18
1989,25,22,47,53,False,40
1972,12,44,56,21,True,23
2015,11,13,24,45,False,25
2015,7,21,28,25,True,36
2012,2,5,7,28,True,33
2009,6,18,24,25,False,18
1997,28,39,67,41,False,40
1992,7,18,25,28,True,38
1990,7,21,28,25,True,29
1988,17,41,58,29,True,29
1987,14,32,46,30,True,41
1985,1,8,9,11,True,41
1978,13,24,37,35,True,40
1974,6,14,20,30,False,0
1974,0,4,4,0,True,46
1959,3,15,18,16,True,29
1997,3,15,18,16,True,26
1993,9,11,20,45,True,100
1993,1,0,1,100,False,63
1992,21,17,38,55,True,59
1984,11,20,31,35,True,50
1980,33,33,66,50,True,50
1975,18,10,28,64,False,58
1973,24,48,72,33,True,33
1971,5,14,19,26,True,38
1970,22,21,43,51,True,56
2009,8,9,17,47,False,38
1998,11,38,49,22,False,15
2011,31,23,54,57,False,28
1989,11,6,17,64,False,61
1982,8,12,20,40,False,27
1977,14,12,26,53,False,37
1975,1,14,15,6,False,0
1975,0,1,1,0,True,33
2012,2,15,17,11,True,36
2009,1,10,11,9,True,25
2000,14,30,44,31,True,39
1999,13,19,32,40,False,27
1997,22,24,46,47,False,0
1997,0,1,1,0,True,62
1988,8,19,27,29,True,54
1986,32,37,69,46,True,53
1967,1,8,9,11,True,18
1967,3,13,16,18,True,28
1963,12,26,38,31,False,30
